"ZIP
code [1]",Size of adjusted gross income,Amount
50034,"$1 under $25,000",643
50034,"$25,000 under $50,000",1648
50034,"$50,000 under $75,000",2110
50034,"$75,000 under $100,000",2820
50034,"$100,000 under $200,000",5256
50034,"$200,000 or more",**
,,
50035,,"207,730"
50035,"$1 under $25,000",7848
50035,"$25,000 under $50,000",17730
50035,"$50,000 under $75,000",32321
50035,"$75,000 under $100,000",41223
50035,"$100,000 under $200,000",76827
50035,"$200,000 or more",31781
,,
50036,,"453,040"
50036,"$1 under $25,000",32447
50036,"$25,000 under $50,000",72839
50036,"$50,000 under $75,000",81507
50036,"$75,000 under $100,000",79146
50036,"$100,000 under $200,000",121574
50036,"$200,000 or more",65527
,,
50038,,"5,467"
50038,"$1 under $25,000",460
50038,"$25,000 under $50,000",1357
50038,"$50,000 under $75,000",3650
50038,"$75,000 under $100,000",**
50038,"$100,000 under $200,000",**
50038,"$200,000 or more",**
,,
50039,,"10,194"
50039,"$1 under $25,000",927
50039,"$25,000 under $50,000",1444
50039,"$50,000 under $75,000",3426
50039,"$75,000 under $100,000",**
50039,"$100,000 under $200,000",4397
50039,"$200,000 or more",**
,,
50042,,"6,388"
50042,"$1 under $25,000",866
50042,"$25,000 under $50,000",1457
50042,"$50,000 under $75,000",1817
50042,"$75,000 under $100,000",2248
50042,"$100,000 under $200,000",**
50042,"$200,000 or more",**
,,
50044,,"19,615"
50044,"$1 under $25,000",1916
50044,"$25,000 under $50,000",3553
50044,"$50,000 under $75,000",4693
50044,"$75,000 under $100,000",3508
50044,"$100,000 under $200,000",5945
50044,"$200,000 or more",**
,,
50046,,"51,124"
50046,"$1 under $25,000",2494
50046,"$25,000 under $50,000",5122
50046,"$50,000 under $75,000",8944
50046,"$75,000 under $100,000",8239
50046,"$100,000 under $200,000",15426
50046,"$200,000 or more",10899
,,
50047,,"167,117"
50047,"$1 under $25,000",9043
50047,"$25,000 under $50,000",22602
50047,"$50,000 under $75,000",28722
50047,"$75,000 under $100,000",29655
50047,"$100,000 under $200,000",54074
50047,"$200,000 or more",23021
,,
50048,,"18,383"
50048,"$1 under $25,000",2101
50048,"$25,000 under $50,000",4350
50048,"$50,000 under $75,000",3700
50048,"$75,000 under $100,000",2778
50048,"$100,000 under $200,000",5454
50048,"$200,000 or more",**
,,
50049,,"137,435"
50049,"$1 under $25,000",14349
50049,"$25,000 under $50,000",26251
50049,"$50,000 under $75,000",26664
50049,"$75,000 under $100,000",23916
50049,"$100,000 under $200,000",30910
50049,"$200,000 or more",15345
,,
50050,,"16,223"
50050,"$1 under $25,000",1259
50050,"$25,000 under $50,000",3389
50050,"$50,000 under $75,000",4056
50050,"$75,000 under $100,000",2874
50050,"$100,000 under $200,000",4645
50050,"$200,000 or more",**
,,
50051,,"7,120"
50051,"$1 under $25,000",525
50051,"$25,000 under $50,000",1391
50051,"$50,000 under $75,000",1797
50051,"$75,000 under $100,000",3407
50051,"$100,000 under $200,000",**
50051,"$200,000 or more",**
,,
50054,,"79,572"
50054,"$1 under $25,000",6916
50054,"$25,000 under $50,000",14463
50054,"$50,000 under $75,000",17186
50054,"$75,000 under $100,000",14722
50054,"$100,000 under $200,000",26285
50054,"$200,000 or more",**
,,
50055,,"25,190"
50055,"$1 under $25,000",1575
50055,"$25,000 under $50,000",4205
50055,"$50,000 under $75,000",4204
50055,"$75,000 under $100,000",5524
50055,"$100,000 under $200,000",9682
50055,"$200,000 or more",**
,,
50056,,"34,918"
50056,"$1 under $25,000",2506
50056,"$25,000 under $50,000",6144
50056,"$50,000 under $75,000",8386
50056,"$75,000 under $100,000",6211
50056,"$100,000 under $200,000",11671
50056,"$200,000 or more",**
,,
50058,,"45,837"
50058,"$1 under $25,000",4010
50058,"$25,000 under $50,000",7919
50058,"$50,000 under $75,000",8991
50058,"$75,000 under $100,000",6949
50058,"$100,000 under $200,000",17968
50058,"$200,000 or more",**
,,
50060,,"52,453"
50060,"$1 under $25,000",4976
50060,"$25,000 under $50,000",11926
50060,"$50,000 under $75,000",11268
50060,"$75,000 under $100,000",8453
50060,"$100,000 under $200,000",9079
50060,"$200,000 or more",6751
,,
50061,,"136,696"
50061,"$1 under $25,000",2038
50061,"$25,000 under $50,000",4349
50061,"$50,000 under $75,000",5541
50061,"$75,000 under $100,000",7126
50061,"$100,000 under $200,000",34436
50061,"$200,000 or more",83206
,,
50062,,"12,323"
50062,"$1 under $25,000",829
50062,"$25,000 under $50,000",2467
50062,"$50,000 under $75,000",3574
50062,"$75,000 under $100,000",5453
50062,"$100,000 under $200,000",**
50062,"$200,000 or more",**
,,
50063,,"95,309"
50063,"$1 under $25,000",3857
50063,"$25,000 under $50,000",9741
50063,"$50,000 under $75,000",12753
50063,"$75,000 under $100,000",14457
50063,"$100,000 under $200,000",33629
50063,"$200,000 or more",20872
,,
50065,,"7,020"
50065,"$1 under $25,000",1222
50065,"$25,000 under $50,000",2054
50065,"$50,000 under $75,000",1392
50065,"$75,000 under $100,000",2352
50065,"$100,000 under $200,000",**
50065,"$200,000 or more",**
,,
50066,,"6,390"
50066,"$1 under $25,000",569
50066,"$25,000 under $50,000",1155
50066,"$50,000 under $75,000",1264
50066,"$75,000 under $100,000",3402
50066,"$100,000 under $200,000",**
50066,"$200,000 or more",**
,,
50067,,"4,433"
50067,"$1 under $25,000",734
50067,"$25,000 under $50,000",1605
50067,"$50,000 under $75,000",2094
50067,"$75,000 under $100,000",**
50067,"$100,000 under $200,000",**
50067,"$200,000 or more",0
,,
50068,,"6,713"
50068,"$1 under $25,000",751
50068,"$25,000 under $50,000",1640
50068,"$50,000 under $75,000",1682
50068,"$75,000 under $100,000",2640
50068,"$100,000 under $200,000",**
50068,"$200,000 or more",**
,,
50069,,"28,440"
50069,"$1 under $25,000",1642
50069,"$25,000 under $50,000",4436
50069,"$50,000 under $75,000",5554
50069,"$75,000 under $100,000",6189
50069,"$100,000 under $200,000",10619
50069,"$200,000 or more",**
,,
50070,,"43,603"
50070,"$1 under $25,000",2865
50070,"$25,000 under $50,000",6508
50070,"$50,000 under $75,000",6791
50070,"$75,000 under $100,000",7554
50070,"$100,000 under $200,000",13355
50070,"$200,000 or more",6530
,,
50071,,"23,744"
50071,"$1 under $25,000",1849
50071,"$25,000 under $50,000",4313
50071,"$50,000 under $75,000",4795
50071,"$75,000 under $100,000",4358
50071,"$100,000 under $200,000",8429
50071,"$200,000 or more",**
,,
50072,,"86,297"
50072,"$1 under $25,000",4379
50072,"$25,000 under $50,000",9322
50072,"$50,000 under $75,000",11849
50072,"$75,000 under $100,000",14596
50072,"$100,000 under $200,000",34266
50072,"$200,000 or more",11885
,,
50073,,"46,610"
50073,"$1 under $25,000",1924
50073,"$25,000 under $50,000",4584
50073,"$50,000 under $75,000",6976
50073,"$75,000 under $100,000",5924
50073,"$100,000 under $200,000",14462
50073,"$200,000 or more",12740
,,
50074,,"13,444"
50074,"$1 under $25,000",546
50074,"$25,000 under $50,000",1183
50074,"$50,000 under $75,000",3412
50074,"$75,000 under $100,000",**
50074,"$100,000 under $200,000",8303
50074,"$200,000 or more",**
,,
50075,,"24,689"
50075,"$1 under $25,000",1519
50075,"$25,000 under $50,000",3583
50075,"$50,000 under $75,000",4468
50075,"$75,000 under $100,000",3917
50075,"$100,000 under $200,000",11202
50075,"$200,000 or more",**
,,
50076,,"33,379"
50076,"$1 under $25,000",3209
50076,"$25,000 under $50,000",7296
50076,"$50,000 under $75,000",6629
50076,"$75,000 under $100,000",5815
50076,"$100,000 under $200,000",10430
50076,"$200,000 or more",**
,,
50103,,"8,214"
50103,"$1 under $25,000",948
50103,"$25,000 under $50,000",1795
50103,"$50,000 under $75,000",1845
50103,"$75,000 under $100,000",3626
50103,"$100,000 under $200,000",**
50103,"$200,000 or more",**
,,
50105,,"40,932"
50105,"$1 under $25,000",1863
50105,"$25,000 under $50,000",3482
50105,"$50,000 under $75,000",6499
50105,"$75,000 under $100,000",8499
50105,"$100,000 under $200,000",13136
50105,"$200,000 or more",7453
,,
50106,,"27,084"
50106,"$1 under $25,000",1712
50106,"$25,000 under $50,000",5100
50106,"$50,000 under $75,000",5944
50106,"$75,000 under $100,000",5771
50106,"$100,000 under $200,000",8557
50106,"$200,000 or more",**
,,
50107,,"22,326"
50107,"$1 under $25,000",2138
50107,"$25,000 under $50,000",5352
50107,"$50,000 under $75,000",4155
50107,"$75,000 under $100,000",3747
50107,"$100,000 under $200,000",6934
50107,"$200,000 or more",**
,,
50108,,"7,463"
50108,"$1 under $25,000",941
50108,"$25,000 under $50,000",2241
50108,"$50,000 under $75,000",1943
50108,"$75,000 under $100,000",2338
50108,"$100,000 under $200,000",**
50108,"$200,000 or more",**
,,
50109,,"113,737"
50109,"$1 under $25,000",3743
50109,"$25,000 under $50,000",7013
50109,"$50,000 under $75,000",11366
50109,"$75,000 under $100,000",16840
50109,"$100,000 under $200,000",48391
50109,"$200,000 or more",26384
,,
50111,,"486,021"
50111,"$1 under $25,000",16584
50111,"$25,000 under $50,000",44157
50111,"$50,000 under $75,000",55287
50111,"$75,000 under $100,000",67972
50111,"$100,000 under $200,000",167053
50111,"$200,000 or more",134968
,,
50112,,"283,462"
50112,"$1 under $25,000",19855
50112,"$25,000 under $50,000",43154
50112,"$50,000 under $75,000",46268
50112,"$75,000 under $100,000",45248
50112,"$100,000 under $200,000",78088
50112,"$200,000 or more",50849
,,
50115,,"65,908"
50115,"$1 under $25,000",5509
50115,"$25,000 under $50,000",10887
50115,"$50,000 under $75,000",12613
50115,"$75,000 under $100,000",10557
50115,"$100,000 under $200,000",16328
50115,"$200,000 or more",10014
,,
50116,,"5,793"
50116,"$1 under $25,000",518
50116,"$25,000 under $50,000",1402
50116,"$50,000 under $75,000",1490
50116,"$75,000 under $100,000",2383
50116,"$100,000 under $200,000",**
50116,"$200,000 or more",0
,,
50118,,"20,858"
50118,"$1 under $25,000",1600
50118,"$25,000 under $50,000",3451
50118,"$50,000 under $75,000",4858
50118,"$75,000 under $100,000",3208
50118,"$100,000 under $200,000",7741
50118,"$200,000 or more",**
,,
50119,,"9,265"
50119,"$1 under $25,000",918
50119,"$25,000 under $50,000",1710
50119,"$50,000 under $75,000",3361
50119,"$75,000 under $100,000",3276
50119,"$100,000 under $200,000",**
50119,"$200,000 or more",0
,,
50120,,"10,041"
50120,"$1 under $25,000",558
50120,"$25,000 under $50,000",2210
50120,"$50,000 under $75,000",**
50120,"$75,000 under $100,000",1908
50120,"$100,000 under $200,000",5365
50120,"$200,000 or more",**
,,
50122,,"39,089"
50122,"$1 under $25,000",2073
50122,"$25,000 under $50,000",5946
50122,"$50,000 under $75,000",7055
50122,"$75,000 under $100,000",8545
50122,"$100,000 under $200,000",15470
50122,"$200,000 or more",**
,,
50123,,"16,425"
50123,"$1 under $25,000",1467
50123,"$25,000 under $50,000",4183
50123,"$50,000 under $75,000",3159
50123,"$75,000 under $100,000",3250
50123,"$100,000 under $200,000",4366
50123,"$200,000 or more",**
,,
50124,,"128,584"
50124,"$1 under $25,000",4474
50124,"$25,000 under $50,000",11238
50124,"$50,000 under $75,000",15319
50124,"$75,000 under $100,000",19851
50124,"$100,000 under $200,000",55038
50124,"$200,000 or more",22664
,,
50125,,"571,894"
50125,"$1 under $25,000",33558
50125,"$25,000 under $50,000",71567
50125,"$50,000 under $75,000",89482
50125,"$75,000 under $100,000",94000
50125,"$100,000 under $200,000",188342
50125,"$200,000 or more",94945
,,
50126,,"200,543"
50126,"$1 under $25,000",13901
50126,"$25,000 under $50,000",27305
50126,"$50,000 under $75,000",29941
50126,"$75,000 under $100,000",27706
50126,"$100,000 under $200,000",41532
50126,"$200,000 or more",60158
,,
50128,,"7,251"
50128,"$1 under $25,000",671
50128,"$25,000 under $50,000",1661
50128,"$50,000 under $75,000",2062
50128,"$75,000 under $100,000",2857
50128,"$100,000 under $200,000",**
50128,"$200,000 or more",**
,,
50129,,"129,271"
50129,"$1 under $25,000",10152
50129,"$25,000 under $50,000",21198
50129,"$50,000 under $75,000",23302
50129,"$75,000 under $100,000",19013
50129,"$100,000 under $200,000",37401
50129,"$200,000 or more",18205
,,
50130,,"51,983"
50130,"$1 under $25,000",2680
50130,"$25,000 under $50,000",6452
50130,"$50,000 under $75,000",8406
50130,"$75,000 under $100,000",8638
50130,"$100,000 under $200,000",15562
50130,"$200,000 or more",10245
,,
50131,,"998,768"
50131,"$1 under $25,000",24473
50131,"$25,000 under $50,000",60654
50131,"$50,000 under $75,000",78050
50131,"$75,000 under $100,000",91076
50131,"$100,000 under $200,000",321449
50131,"$200,000 or more",423066
,,
50132,,"7,904"
50132,"$1 under $25,000",700
50132,"$25,000 under $50,000",2228
50132,"$50,000 under $75,000",1599
50132,"$75,000 under $100,000",3377
50132,"$100,000 under $200,000",**
50132,"$200,000 or more",**
,,
50133,,"8,978"
50133,"$1 under $25,000",1098
50133,"$25,000 under $50,000",2341
50133,"$50,000 under $75,000",2376
50133,"$75,000 under $100,000",3163
50133,"$100,000 under $200,000",**
50133,"$200,000 or more",**
,,
50134,,"22,194"
50134,"$1 under $25,000",965
50134,"$25,000 under $50,000",3127
50134,"$50,000 under $75,000",2695
50134,"$75,000 under $100,000",3961
50134,"$100,000 under $200,000",11446
50134,"$200,000 or more",**
,,
50135,,"41,591"
50135,"$1 under $25,000",2948
50135,"$25,000 under $50,000",7398
50135,"$50,000 under $75,000",8010
50135,"$75,000 under $100,000",7942
50135,"$100,000 under $200,000",15293
50135,"$200,000 or more",**
,,
50136,,"9,344"
50136,"$1 under $25,000",879
50136,"$25,000 under $50,000",1596
50136,"$50,000 under $75,000",2810
50136,"$75,000 under $100,000",4059
50136,"$100,000 under $200,000",**
50136,"$200,000 or more",**
,,
50138,,"268,079"
50138,"$1 under $25,000",21607
50138,"$25,000 under $50,000",51676
50138,"$50,000 under $75,000",55064
50138,"$75,000 under $100,000",55341
50138,"$100,000 under $200,000",66586
50138,"$200,000 or more",17805
,,
50139,,"27,554"
50139,"$1 under $25,000",1904
50139,"$25,000 under $50,000",5682
50139,"$50,000 under $75,000",7595
50139,"$75,000 under $100,000",5811
50139,"$100,000 under $200,000",6562
50139,"$200,000 or more",**
,,
50140,,"37,252"
50140,"$1 under $25,000",4770
50140,"$25,000 under $50,000",8711
50140,"$50,000 under $75,000",7623
50140,"$75,000 under $100,000",6982
50140,"$100,000 under $200,000",9166
50140,"$200,000 or more",**
,,
50141,,"13,472"
50141,"$1 under $25,000",930
50141,"$25,000 under $50,000",2915
50141,"$50,000 under $75,000",2471
50141,"$75,000 under $100,000",3154
50141,"$100,000 under $200,000",4002
50141,"$200,000 or more",**
,,
50143,,"17,656"
50143,"$1 under $25,000",1134
50143,"$25,000 under $50,000",2335
50143,"$50,000 under $75,000",2546
50143,"$75,000 under $100,000",4582
50143,"$100,000 under $200,000",7059
50143,"$200,000 or more",**
,,
50144,,"51,006"
50144,"$1 under $25,000",6359
50144,"$25,000 under $50,000",13078
50144,"$50,000 under $75,000",9573
50144,"$75,000 under $100,000",6828
50144,"$100,000 under $200,000",15168
50144,"$200,000 or more",**
,,
50146,,"11,101"
50146,"$1 under $25,000",1021
50146,"$25,000 under $50,000",1898
50146,"$50,000 under $75,000",1771
50146,"$75,000 under $100,000",2867
50146,"$100,000 under $200,000",3544
50146,"$200,000 or more",**
,,
50147,,"6,663"
50147,"$1 under $25,000",733
50147,"$25,000 under $50,000",1923
50147,"$50,000 under $75,000",1702
50147,"$75,000 under $100,000",2305
50147,"$100,000 under $200,000",**
50147,"$200,000 or more",0
,,
50148,,"8,821"
50148,"$1 under $25,000",880
50148,"$25,000 under $50,000",1611
50148,"$50,000 under $75,000",1582
50148,"$75,000 under $100,000",4748
50148,"$100,000 under $200,000",**
50148,"$200,000 or more",**
,,
50149,,"17,690"
50149,"$1 under $25,000",1726
50149,"$25,000 under $50,000",4765
50149,"$50,000 under $75,000",4005
50149,"$75,000 under $100,000",3018
50149,"$100,000 under $200,000",4176
50149,"$200,000 or more",**
,,
50150,,"16,617"
50150,"$1 under $25,000",1383
50150,"$25,000 under $50,000",4553
50150,"$50,000 under $75,000",4424
50150,"$75,000 under $100,000",3088
50150,"$100,000 under $200,000",3169
50150,"$200,000 or more",**
,,
50151,,"15,396"
50151,"$1 under $25,000",1238
50151,"$25,000 under $50,000",3293
50151,"$50,000 under $75,000",3239
50151,"$75,000 under $100,000",3100
50151,"$100,000 under $200,000",4526
50151,"$200,000 or more",**
,,
50153,,"23,904"
50153,"$1 under $25,000",1011
50153,"$25,000 under $50,000",3895
50153,"$50,000 under $75,000",4495
50153,"$75,000 under $100,000",4901
50153,"$100,000 under $200,000",9602
50153,"$200,000 or more",**
,,
50154,,"13,071"
50154,"$1 under $25,000",853
50154,"$25,000 under $50,000",1896
50154,"$50,000 under $75,000",3056
50154,"$75,000 under $100,000",1967
50154,"$100,000 under $200,000",5299
50154,"$200,000 or more",**
,,
50155,,"4,913"
50155,"$1 under $25,000",400
50155,"$25,000 under $50,000",2208
50155,"$50,000 under $75,000",**
50155,"$75,000 under $100,000",2305
50155,"$100,000 under $200,000",**
50155,"$200,000 or more",**
,,
50156,,"131,238"
50156,"$1 under $25,000",7342
50156,"$25,000 under $50,000",19296
50156,"$50,000 under $75,000",22818
50156,"$75,000 under $100,000",25418
50156,"$100,000 under $200,000",41872
50156,"$200,000 or more",14492
,,
50157,,"17,403"
50157,"$1 under $25,000",1489
50157,"$25,000 under $50,000",3753
50157,"$50,000 under $75,000",4700
50157,"$75,000 under $100,000",3874
50157,"$100,000 under $200,000",3587
50157,"$200,000 or more",**
,,
50158,,"726,508"
50158,"$1 under $25,000",65958
50158,"$25,000 under $50,000",152831
50158,"$50,000 under $75,000",131278
50158,"$75,000 under $100,000",103380
50158,"$100,000 under $200,000",162946
50158,"$200,000 or more",110115
,,
50161,,"56,333"
50161,"$1 under $25,000",2629
50161,"$25,000 under $50,000",8400
50161,"$50,000 under $75,000",8592
50161,"$75,000 under $100,000",11575
50161,"$100,000 under $200,000",18500
50161,"$200,000 or more",6637
,,
50162,,"29,876"
50162,"$1 under $25,000",2111
50162,"$25,000 under $50,000",5527
50162,"$50,000 under $75,000",4943
50162,"$75,000 under $100,000",7599
50162,"$100,000 under $200,000",9696
50162,"$200,000 or more",**
,,
50164,,"15,539"
50164,"$1 under $25,000",1215
50164,"$25,000 under $50,000",2714
50164,"$50,000 under $75,000",2809
50164,"$75,000 under $100,000",3282
50164,"$100,000 under $200,000",5519
50164,"$200,000 or more",**
,,
50166,,"38,882"
50166,"$1 under $25,000",2755
50166,"$25,000 under $50,000",5726
50166,"$50,000 under $75,000",7781
50166,"$75,000 under $100,000",8513
50166,"$100,000 under $200,000",14107
50166,"$200,000 or more",**
,,
50167,,"21,664"
50167,"$1 under $25,000",1321
50167,"$25,000 under $50,000",3181
50167,"$50,000 under $75,000",4418
50167,"$75,000 under $100,000",3186
50167,"$100,000 under $200,000",9558
50167,"$200,000 or more",**
,,
50168,,"24,589"
50168,"$1 under $25,000",1407
50168,"$25,000 under $50,000",3173
50168,"$50,000 under $75,000",3529
50168,"$75,000 under $100,000",5416
50168,"$100,000 under $200,000",11064
50168,"$200,000 or more",**
,,
50169,,"76,716"
50169,"$1 under $25,000",4361
50169,"$25,000 under $50,000",10764
50169,"$50,000 under $75,000",13565
50169,"$75,000 under $100,000",11706
50169,"$100,000 under $200,000",21650
50169,"$200,000 or more",14670
,,
50170,,"76,763"
50170,"$1 under $25,000",4947
50170,"$25,000 under $50,000",11670
50170,"$50,000 under $75,000",15106
50170,"$75,000 under $100,000",13704
50170,"$100,000 under $200,000",21606
50170,"$200,000 or more",9730
,,
50171,,"82,372"
50171,"$1 under $25,000",5355
50171,"$25,000 under $50,000",11985
50171,"$50,000 under $75,000",10922
50171,"$75,000 under $100,000",15085
50171,"$100,000 under $200,000",19075
50171,"$200,000 or more",19950
,,
50173,,"13,603"
50173,"$1 under $25,000",1657
50173,"$25,000 under $50,000",2637
50173,"$50,000 under $75,000",2701
50173,"$75,000 under $100,000",3293
50173,"$100,000 under $200,000",3315
50173,"$200,000 or more",**
,,
50174,,"26,966"
50174,"$1 under $25,000",2550
50174,"$25,000 under $50,000",6329
50174,"$50,000 under $75,000",6049
50174,"$75,000 under $100,000",4271
50174,"$100,000 under $200,000",7767
50174,"$200,000 or more",**
,,
50201,,"250,831"
50201,"$1 under $25,000",15215
50201,"$25,000 under $50,000",37165
50201,"$50,000 under $75,000",42370
50201,"$75,000 under $100,000",43347
50201,"$100,000 under $200,000",66318
50201,"$200,000 or more",46416
,,
50206,,"13,779"
50206,"$1 under $25,000",771
50206,"$25,000 under $50,000",1714
50206,"$50,000 under $75,000",2337
50206,"$75,000 under $100,000",2889
50206,"$100,000 under $200,000",6068
50206,"$200,000 or more",**
,,
50207,,"60,270"
50207,"$1 under $25,000",4473
50207,"$25,000 under $50,000",10547
50207,"$50,000 under $75,000",13349
50207,"$75,000 under $100,000",11527
50207,"$100,000 under $200,000",20374
50207,"$200,000 or more",**
,,
50208,,"452,088"
50208,"$1 under $25,000",39108
50208,"$25,000 under $50,000",89568
50208,"$50,000 under $75,000",89784
50208,"$75,000 under $100,000",77576
50208,"$100,000 under $200,000",107553
50208,"$200,000 or more",48499
,,
50210,,"48,998"
50210,"$1 under $25,000",2652
50210,"$25,000 under $50,000",8306
50210,"$50,000 under $75,000",8619
50210,"$75,000 under $100,000",9604
50210,"$100,000 under $200,000",19817
50210,"$200,000 or more",**
,,
50211,,"424,232"
50211,"$1 under $25,000",17584
50211,"$25,000 under $50,000",43566
50211,"$50,000 under $75,000",59676
50211,"$75,000 under $100,000",64525
50211,"$100,000 under $200,000",160326
50211,"$200,000 or more",78555
,,
50212,,"88,602"
50212,"$1 under $25,000",5882
50212,"$25,000 under $50,000",13220
50212,"$50,000 under $75,000",15803
50212,"$75,000 under $100,000",15313
50212,"$100,000 under $200,000",28662
50212,"$200,000 or more",9722
,,
50213,,"144,821"
50213,"$1 under $25,000",15734
50213,"$25,000 under $50,000",36686
50213,"$50,000 under $75,000",27685
50213,"$75,000 under $100,000",24082
50213,"$100,000 under $200,000",30859
50213,"$200,000 or more",9775
,,
50214,,"27,409"
50214,"$1 under $25,000",1050
50214,"$25,000 under $50,000",2515
50214,"$50,000 under $75,000",3926
50214,"$75,000 under $100,000",4648
50214,"$100,000 under $200,000",15270
50214,"$200,000 or more",**
,,
50216,,"100,029"
50216,"$1 under $25,000",4109
50216,"$25,000 under $50,000",9049
50216,"$50,000 under $75,000",12556
50216,"$75,000 under $100,000",14443
50216,"$100,000 under $200,000",29645
50216,"$200,000 or more",30227
,,
50217,,"16,029"
50217,"$1 under $25,000",895
50217,"$25,000 under $50,000",2684
50217,"$50,000 under $75,000",3108
50217,"$75,000 under $100,000",3348
50217,"$100,000 under $200,000",5994
50217,"$200,000 or more",**
,,
50219,,"463,950"
50219,"$1 under $25,000",19071
50219,"$25,000 under $50,000",43756
50219,"$50,000 under $75,000",61901
50219,"$75,000 under $100,000",72571
50219,"$100,000 under $200,000",144419
50219,"$200,000 or more",122232
,,
50220,,"200,373"
50220,"$1 under $25,000",19302
