LocID,ALIAS,Facility Type,FAA REGION,STATE,AP Type,Latitude,Longitude,ARPElevation,Runway_ct
CHN,Wauchula Municipal Airport,Airport,ASO,FL,Public Use,27.514917,-81.880472,107,1
LRD,Laredo Int'l Airport,Airport,ASW,TX,Federalized/Commercial,27.544194,-99.461583,508,3
IKG,Kleberg County Airport,Airport,ASW,TX,Public Use,27.550861,-98.030917,130,1
AVO,Avon Park Municipal Airport,Airport,ASO,FL,Public Use,27.5913,-81.528967,160,2
07R,Bishop Municipal Airport,Airport,ASW,TX,Public Use,27.610167,-97.752528,55,1
X52,,Airport,ASO,FL,Public Use,27.632255,-80.527554,25,1
48X,,Airport,ASO,FL,Public Use,27.642472,-82.520167,27,1
VRB,Vero Beach Municipal Airport,Airport,ASO,FL,Public Use,27.655556,-80.417944,23,3
ALI,Alice Int'l Airport,Airport,ASW,TX,Public Use,27.740889,-98.026944,178,2
SPG,Albert Whitted Airport,Airport,ASO,FL,Public Use,27.765111,-82.626972,6,2
CRP,Corpus Christi Int'l Airport,Airport,ASW,TX,Federalized/Commercial,27.770361,-97.501222,46,2
RBO,,Airport,ASW,TX,Public Use,27.778139,-97.690111,79,1
2RR,,Airport,ASO,FL,Public Use,27.779333,-81.203917,55,1
67T,,Airport,ASW,TX,Public Use,27.800244,-97.851021,96,1
RAS,,Airport,ASW,TX,Public Use,27.811833,-97.08875,5,1
X26,Sebastian Municipal Airport,Airport,ASO,FL,Public Use,27.813235,-80.495584,21,2
T19,,Airport,ASW,TX,Public Use,27.88363,-98.600293,564,1
9R5,Hunt Airport San Patricio,Airport,ASW,TX,Public Use,27.887801,-97.354436,40,2
X07,Lake Wales Municipal Airport,Airport,ASO,FL,Public Use,27.893806,-81.620389,126,2
PIE,St Petersburg/Clearwater Int'l Arpt,Airport,ASO,FL,Federalized/Commercial,27.91,-82.687417,10,2
TFP,Tp Mccampbell Airport,Airport,ASW,TX,Public Use,27.913028,-97.2115,17,1
TPF,Peter O Knight Airport,Airport,ASO,FL,Public Use,27.915444,-82.449389,7,2
X49,,Airport,ASO,FL,Public Use,27.933358,-82.043974,110,1
BOW,Bartow Municipal Airport,Airport,ASO,FL,Public Use,27.943361,-81.783417,124,3
X25,,Airport,ASO,FL,Public Use,27.953806,-81.601417,130,1
X59,Valkaria Airport,Airport,ASO,FL,Public Use,27.960861,-80.558333,26,2
TPA,Tampa Int'l Airport,Airport,ASO,FL,Federalized/Commercial,27.975472,-82.53325,26,3
CLW,Clearwater Airpark,Airport,ASO,FL,Public Use,27.976472,-82.758667,71,1
LAL,Lakeland Linder Regional Airport,Airport,ASO,FL,Public Use,27.988917,-82.018556,142,3
PCM,Plant City Municipal Airport,Airport,ASO,FL,Public Use,28.000167,-82.163306,152,1
VDF,Tampa Executive Airport,Airport,ASO,FL,Public Use,28.013972,-82.345278,21,2
T69,County Airport San Patricio,Airport,ASW,TX,Public Use,28.038567,-97.542501,47,2
F57,,Airport,ASO,FL,Public Use,28.0575,-81.762806,140,1
GIF,Winter Haven Municipal Airport,Airport,ASO,FL,Public Use,28.062917,-81.753306,145,2
RKP,Aransas County Airport,Airport,ASW,TX,Public Use,28.086222,-97.043694,23,2
MLB,Melbourne Int'l Airport,Airport,ASO,FL,Public Use,28.102753,-80.645257,33,3
MDY,,Airport,AWP,MQ,Public Use,28.201483,-177.381308,18,1
X39,Tampa North Aero Park,Airport,ASO,FL,Public Use,28.221278,-82.374556,68,1
ZPH,Zephyrhills Municipal Airport,Airport,ASO,FL,Public Use,28.228136,-82.155925,89,2
ISM,Kissimmee Municipal Airport,Airport,ASO,FL,Public Use,28.289806,-81.437083,82,2
RFG,Rooke Field,Airport,ASW,TX,Public Use,28.293617,-97.323048,56,2
X05,Pilot Country Airport,Airport,ASO,FL,Public Use,28.330283,-82.496485,80,1
COI,Merritt Island Airport,Airport,ASO,FL,Public Use,28.341611,-80.685472,5,1
8T6,,Airport,ASW,TX,Public Use,28.362806,-98.116472,128,1
BEA,Beeville Municipal Airport,Airport,ASW,TX,Public Use,28.364222,-97.791944,272,2
MCO,Orlando Int'l Airport,Airport,ASO,FL,Federalized/Commercial,28.429394,-81.308993,96,5
COT,Cotulla-La Salle County Airport,Airport,ASW,TX,Public Use,28.455722,-99.217222,474,1
BKV,Hernando County Airport,Airport,ASO,FL,Public Use,28.473611,-82.455417,76,2
TIX,Space Coast Regional Airport,Airport,ASO,FL,Public Use,28.5148,-80.799228,33,2
CZT,Dimmit County Airport,Airport,ASW,TX,Public Use,28.52225,-99.823639,598,1
ORL,Orlando Executive Airport,Airport,ASO,FL,Public Use,28.545472,-81.332917,112,2
7T3,,Airport,ASW,TX,Public Use,28.611639,-97.612556,,
X21,Arthur Dunn Airpark,Airport,ASO,FL,Public Use,28.622552,-80.83541,30,2
PKV,Calhoun County Airport,Airport,ASW,TX,Public Use,28.653306,-96.682722,32,2
24R,,Airport,ASW,TX,Public Use,28.6855,-99.189083,542,1
20R,Crystal City Municipal Airport,Airport,ASW,TX,Public Use,28.697556,-99.817667,608,1
X04,,Airport,ASO,FL,Public Use,28.707474,-81.581965,150,1
PSX,Palacios Municipal Airport,Airport,ASW,TX,Public Use,28.7275,-96.250944,14,3
X61,,Airport,ASO,FL,Public Use,28.735272,-81.629117,78,1
SFB,Orlando Sanford Int'l Airport,Airport,ASO,FL,Federalized/Commercial,28.776694,-81.235528,54,4
FA1,,Airport,ASO,FL,Public Use,28.800556,-81.727778,63,1
INF,Inverness Municipal Airport,Airport,ASO,FL,Public Use,28.803613,-82.318247,64,1
T30,Mckinley Field,Airport,ASW,TX,Public Use,28.82225,-99.109028,586,1
LEE,Leesburg Int'l Airport,Airport,ASO,FL,Public Use,28.822889,-81.808417,75,2
2R9,Karnes County Airport,Airport,ASW,TX,Public Use,28.824986,-97.865568,288,1
X55,Mid Florida Air Service Airport,Airport,ASO,FL,Public Use,28.843333,-81.630083,167,1
VCT,Victoria Regional Airport,Airport,ASW,TX,Public Use,28.852546,-96.918489,115,4
5T9,Maverick County Mem Int'l Airport,Airport,ASW,TX,Public Use,28.857093,-100.513468,887,1
CGC,Crystal River Airport,Airport,ASO,FL,Public Use,28.867611,-82.574111,8,2
X23,Umatilla Municipal Airport,Airport,ASO,FL,Public Use,28.924221,-81.651813,107,1
T84,,Airport,ASW,TX,Public Use,28.95248,-95.973569,50,1
PEZ,,Airport,ASW,TX,Public Use,28.954194,-98.519972,430,1
BYY,Bay City Municipal Airport,Airport,ASW,TX,Public Use,28.97325,-95.863444,44,1
X50,Massey Ranch Airport,Airport,ASO,FL,Public Use,28.978876,-80.925054,10,1
26R,Jackson County Airport,Airport,ASW,TX,Public Use,29.000999,-96.581962,61,1
EVB,New Smyrna Beach Municipal Airport,Airport,ASO,FL,Public Use,29.055694,-80.948917,10,3
X35,Dunnellon Airport,Airport,ASO,FL,Public Use,29.061778,-82.376583,65,2
DED,Deland Municipal Airport,Airport,ASO,FL,Public Use,29.067028,-81.28375,79,2
T71,Cuero Airport,Airport,ASW,TX,Public Use,29.083588,-97.266934,214,1
1J6,,Airport,ASO,FL,Public Use,29.104111,-81.314194,94,1
T26,,Airport,ASW,TX,Public Use,29.108278,-96.398778,60,1
LBX,Brazoria County Airport,Airport,ASW,TX,Public Use,29.108639,-95.462083,25,1
CDK,,Airport,ASO,FL,Public Use,29.134222,-83.050472,11,1
23R,Devine Municipal Airport,Airport,ASW,TX,Public Use,29.138389,-98.941889,702,1
7R9,,Airport,ASW,TX,Public Use,29.165056,-95.401083,21,1
OCF,Ocala Int'l Airport,Airport,ASO,FL,Public Use,29.171877,-82.224115,89,2
DAB,Daytona Beach Int'l Airport,Airport,ASO,FL,Federalized/Commercial,29.179917,-81.058056,34,3
UVA,Garner Field,Airport,ASW,TX,Public Use,29.211333,-99.743583,941,1
53T,,Airport,ASW,TX,Public Use,29.216073,-98.549462,610,1
2J8,Pierson Municipal Airport,Airport,ASO,FL,Public Use,29.250028,-81.459333,63,1
ARM,Wharton Municipal Airport,Airport,ASW,TX,Public Use,29.254278,-96.154389,100,1
94R,,Airport,ASW,TX,Public Use,29.264396,-96.007246,90,1
81D,,Airport,ASW,TX,Public Use,29.264967,-95.41257,30,2
GLS,Scholes Int'l Airport,Airport,ASW,TX,Public Use,29.265333,-94.860417,5,2
74R,,Airport,ASW,TX,Public Use,29.284583,-98.498306,551,2
OMN,Ormond Beach Municipal Airport,Airport,ASO,FL,Public Use,29.301139,-81.113806,27,3
T85,Yoakum Municipal Airport,Airport,ASW,TX,Public Use,29.313167,-97.138417,365,1
SSF,Stinson Airport,Airport,ASW,TX,Public Use,29.336982,-98.471045,577,2
CVB,Castroville Municipal Airport,Airport,ASW,TX,Public Use,29.341889,-98.851,773,1
X60,Williston Municipal Airport,Airport,ASO,FL,Public Use,29.355717,-82.4717,75,2
HDO,Hondo Municipal Airport,Airport,ASW,TX,Public Use,29.359131,-99.177492,930,4
DRT,Del Rio Int'l Airport,Airport,ASW,TX,Public Use,29.374207,-100.927157,1002,3
34R,,Airport,ASW,TX,Public Use,29.389958,-96.95606,277,1
6R5,,Airport,ASW,TX,Public Use,29.41475,-95.288917,43,3
GAO,,Airport,ASW,LA,Public Use,29.441106,-90.261121,0,2
,,Airport,ASW,TX,Public Use,29.4515,-103.397611,,
XFL,Flagler County Airport,Airport,ASO,FL,Public Use,29.467389,-81.206333,,
3T2,,Airport,ASW,TX,Public Use,29.479083,-95.326556,55,1
T34,,Airport,ASW,TX,Public Use,29.483417,-95.008172,28,1
T95,,Airport,ASW,TX,Public Use,29.488288,-95.10743,26,1
2H5,,Airport,ASW,TX,Public Use,29.499167,-95.898389,105,1
5T0,,Airport,ASW,TX,Public Use,29.502722,-95.935972,107,1
AXH,Houston Southwest Airport,Airport,ASW,TX,Public Use,29.506139,-95.476917,68,1
8T8,,Airport,ASW,TX,Public Use,29.510508,-98.798359,1040,1
LVJ,Clover Field Airport,Airport,ASW,TX,Public Use,29.521278,-95.242139,43,1
T54,,Airport,ASW,TX,Public Use,29.524406,-95.775228,94,1
T20,Gonzales Municipal Airport,Airport,ASW,TX,Public Use,29.529124,-97.464303,354,1
SAT,San Antonio Int'l Airport,Airport,ASW,TX,Federalized/Commercial,29.533694,-98.469778,809,3
39R,,Airport,ASW,TX,Public Use,29.537611,-95.423639,73,1
T79,,Airport,ASW,TX,Public Use,29.555789,-95.327993,55,1
HUM,Houma-Terrebonne Airport,Airport,ASW,LA,Public Use,29.566502,-90.660427,9,2
T94,,Airport,ASW,TX,Public Use,29.570187,-98.468389,873,1
ELA,Eagle Lake Airport,Airport,ASW,TX,Public Use,29.600667,-96.322056,183,1
E70,,Airport,ASW,TX,Public Use,29.602406,-97.990563,556,1
EFD,Ellington Field-Main,Airport,ASW,TX,Public Use,29.607333,-95.15875,32,3
0J8,,Airport,ASO,FL,Public Use,29.618917,-82.508778,90,1
SGR,Sugarland Regional Airport,Airport,ASW,TX,Public Use,29.62225,-95.656528,82,1
T77,Presidio Lely Int'l Airport,Airport,ASW,TX,Public Use,29.634213,-104.361494,,
CTY,Cross City Airport,Airport,ASO,FL,Public Use,29.635528,-83.10475,42,2
66R,,Airport,ASW,TX,Public Use,29.64107,-96.515804,242,1
F47,,Airport,ASO,FL,Public Use,29.644584,-84.915599,3,1
HOU,William P Hobby Airport,Airport,ASW,TX,Federalized/Commercial,29.645419,-95.278889,46,4
28J,Kay Larkin Airport,Airport,ASO,FL,Public Use,29.658382,-81.689503,47,2
T41,La Porte Municipal Airport,Airport,ASW,TX,Public Use,29.66925,-95.064194,25,2
GNV,Gainesville Regional Airport,Airport,ASO,FL,Federalized/Commercial,29.690056,-82.271778,151,2
X09,,Airport,ASW,TX,Public Use,29.690083,-95.840474,130,1
O07,Westheimer Air Park,Airport,ASW,TX,Public Use,29.694677,-95.794673,,
BAZ,New Braunfels Municipal Airport,Airport,ASW,TX,Public Use,29.7045,-98.042222,658,2
PTN,Harry P Williams Memorial Airiport,Airport,ASW,LA,Public Use,29.709546,-91.338979,8,2
6J8,,Airport,ASO,FL,Public Use,29.720139,-82.663958,90,1
5C1,Boerne Stage Airfield,Airport,ASW,TX,Public Use,29.723929,-98.694642,1383,1
AAF,Apalachicola Municipal Airport,Airport,ASO,FL,Public Use,29.727549,-85.027377,19,3
T91,The Carter Memorial Airport,Airport,ASW,TX,Public Use,29.728283,-97.659443,475,1
1T8,,Airport,ASW,TX,Public Use,29.739111,-98.451128,1080,1
49R,,Airport,ASW,TX,Public Use,29.745501,-99.760893,1640,1
L83,,Airport,ASW,LA,Public Use,29.747792,-90.832899,9,1
A51,,Airport,ASO,FL,Public Use,29.758544,-85.289085,13,1
54T,,Airport,ASW,TX,Public Use,29.761894,-94.847939,33,2
T00,Chambers County Airport,Airport,ASW,TX,Public Use,29.769815,-94.663487,21,2
HPY,Baytown Airport,Airport,ASW,TX,Public Use,29.786083,-94.952667,33,1
TME,,Airport,ASW,TX,Public Use,29.805028,-95.897889,165,1
1T7,,Airport,ASW,TX,Public Use,29.81175,-98.426056,1261,1
IWS,West Houston Lakeside Airport,Airport,ASW,TX,Public Use,29.818194,-95.672611,111,1
T90,Winnie Community Airport,Airport,ASW,TX,Public Use,29.818856,-94.430978,25,1
X13,,Airport,ASO,FL,Public Use,29.842,-84.701111,20,1
42J,Keystone Airpark,Airport,ASO,FL,Public Use,29.84475,-82.047528,196,2
50R,Lockhart Municipal Airport,Airport,ASW,TX,Public Use,29.850333,-97.672417,531,1
HYI,San Marcos Municipal Airport,Airport,ASW,TX,Public Use,29.89275,-97.863,594,3
2R1,Le Maire Memorial Airport,Airport,ASW,LA,Public Use,29.899069,-91.666,14,1
3T5,Fayette Regional Air Center Airport,Airport,ASW,TX,Public Use,29.907972,-96.95,324,1
9X9,,Airport,ASW,TX,Public Use,29.912725,-95.826618,,
EYQ,Weiser Airport,Airport,ASW,TX,Public Use,29.935571,-95.639373,137,2
06R,,Airport,ASW,TX,Public Use,29.940972,-96.24525,292,1
ECU,,Airport,ASW,TX,Public Use,29.94692,-100.173855,2372,1
BPT,Southeast Texas Regional Airport,Airport,ASW,TX,Public Use,29.950833,-94.020694,15,2
7N0,,Airport,ASW,LA,Public Use,29.952683,-90.082733,30,1
SGJ,St Augustine Airport,Airport,ASO,FL,Public Use,29.95925,-81.339722,9,6
IYA,Abbeville Chris Crusta Mem Airport,Airport,ASW,LA,Public Use,29.975778,-92.084222,15,1
ERV,Kerrville Municipal Airport,Airport,ASW,TX,Public Use,29.976667,-99.085472,1616,2
IAH,Bush Intercon'l Airport,Airport,ASW,TX,Federalized/Commercial,29.984444,-95.341444,96,5
2J0,Wakulla County Airport,Airport,ASO,FL,Public Use,29.989456,-84.395392,11,1
MSY,New Orleans Int'l Airport,Airport,ASW,LA,Public Use,29.993389,-90.258028,3,2
84R,Smithville Municipal Airport,Airport,ASW,TX,Public Use,30.028222,-97.167028,323,1
ARA,Acadiana Regional,Airport,ASW,LA,Public Use,30.037758,-91.883896,24,2
NEW,New Orleans Lakefront Airport,Airport,ASW,LA,Public Use,30.042417,-90.02825,7,3
T51,,Airport,ASW,TX,Public Use,30.042775,-95.667223,166,1
6R6,Terrell County Airport,Airport,ASW,TX,Public Use,30.046472,-102.213167,2323,2
DWH,David Wayne Hooks Memorial Airport,Airport,ASW,TX,Public Use,30.061833,-95.552778,152,3
ORG,Orange County Airport,Airport,ASW,TX,Public Use,30.068452,-93.80402,13,2
40J,Perry-Foley Airport,Airport,ASO,FL,Public Use,30.069278,-83.580583,44,3
BMT,Beaumont Municipal Airport,Airport,ASW,TX,Public Use,30.070204,-94.215097,31,1
T78,Liberty Municipal Airport,Airport,ASW,TX,Public Use,30.077806,-94.698556,69,1
1L0,,Airport,ASW,LA,Public Use,30.087006,-90.582749,,
LCH,Lake Charles Regional Airport,Airport,ASW,LA,Federalized/Commercial,30.126083,-93.223417,14,2
UXL,Southland Field West Calcasieu Arpt,Airport,ASW,LA,Public Use,30.131444,-93.376167,10,1
9X1,Williams Airport,Airport,ASW,TX,Public Use,30.153375,-95.321989,125,1
3R2,Le Gros Memorial Airport,Airport,ASW,LA,Public Use,30.161778,-92.483972,14,2
GYB,Giddings-Lee County Airport,Airport,ASW,TX,Public Use,30.169278,-96.980028,484,1
L38,Louisiana Regional Airport,Airport,ASW,LA,Public Use,30.172722,-90.940611,14,1
LCQ,Lake City Municipal Airport,Airport,ASO,FL,Public Use,30.182056,-82.576861,200,2
AUS,Austin-Bergstrom Int'l Airport,Airport,ASW,TX,Federalized/Commercial,30.194528,-97.669889,541,5
LFT,Lafayette Regional Airport,Airport,ASW,LA,Federalized/Commercial,30.20525,-91.987611,41,4
CWF,Chennault Int'l Airport,Airport,ASW,LA,Public Use,30.210583,-93.143194,16,1
VQQ,Cecil Field,Airport,ASO,FL,Public Use,30.218778,-81.877167,79,6
11R,Brenham Municipal Airport,Airport,ASW,TX,Public Use,30.219676,-96.374403,317,1
6R1,Welsh Airport,Airport,ASW,LA,Public Use,30.241874,-92.829312,18,2
3R7,Jennings Airport,Airport,ASW,LA,Public Use,30.242699,-92.673499,22,3
T82,,Airport,ASW,TX,Public Use,30.24325,-98.909194,1694,1
4R9,Dauphin Island Airport,Airport,ASO,AL,Public Use,30.260492,-88.127472,5,1
HEG,Herlong Airport,Airport,ASO,FL,Public Use,30.277778,-81.805944,85,2
JKA,Jack Edwards Airport,Airport,ASO,AL,Public Use,30.289639,-87.671778,17,2
24J,,Airport,ASO,FL,Public Use,30.300125,-83.024694,103,1
45R,,Airport,ASW,TX,Public Use,30.336333,-94.257556,70,1
CRG,Craig Municipal Airport,Airport,ASO,FL,Public Use,30.336333,-81.514444,40,2
ASD,Slidell Airport,Airport,ASW,LA,Public Use,30.346344,-89.8208,28,1
CXO,Lone Star Executive Airport,Airport,ASW,TX,Public Use,30.352361,-95.414528,244,2
6R3,Cleveland Municipal Airport,Airport,ASW,TX,Public Use,30.356444,-95.008028,150,1
3R9,Lakeway Airport,Airport,ASW,TX,Public Use,30.357491,-97.994468,909,1
ECP,Northwest Fl Beaches Int'l Airport,Airport,ASO,FL,Public Use,30.35825,-85.795611,68,1
66Y,Diamondhead Airport,Airport,ASO,MS,Public Use,30.362979,-89.387654,14,1
60R,Navasota Municipal Airport,Airport,ASW,TX,Public Use,30.367135,-96.112958,229,1
HSA,Stennis Int'l Airport,Airport,ASO,MS,Public Use,30.367806,-89.454611,23,1
MRF,Marfa Municipal Airport,Airport,ASW,TX,Public Use,30.371111,-104.017528,4848,3
L89,,Airport,ASW,LA,Public Use,30.381311,-92.145957,,
E38,Alpine-Casparis Municipal Airport,Airport,ASW,TX,Public Use,30.384222,-103.683583,4514,2
35M,,Airport,ASO,MS,Public Use,30.388611,-89.165278,24,1
5R2,Ocean Springs Airport,Airport,ASO,MS,Public Use,30.389444,-88.753444,20,1
TLH,Tallahassee Regional Airport,Airport,ASO,FL,Federalized/Commercial,30.396528,-84.350333,83,2
EDC,Birds Nest Airport,Airport,ASW,TX,Public Use,30.397493,-97.566394,620,2
82J,Ferguson Airport,Airport,ASO,FL,Public Use,30.39825,-87.348889,27,1
DTS,Destin-Fort Walton Beach Airport,Airport,ASO,FL,Public Use,30.400055,-86.471473,21,1
1J9,Fort Walton Beach Airfield,Airport,ASO,FL,Public Use,30.406306,-86.829194,22,1
GPT,Gulfport-Biloxi International,Airport,ASO,MS,Public Use,30.407269,-89.070097,28,2
5R4,Foley Municipal Airport,Airport,ASO,AL,Public Use,30.427667,-87.700972,74,1
5R8,Dequincy Industrial Airpark,Airport,ASW,LA,Public Use,30.441083,-93.473611,82,1
L31,,Airport,ASW,LA,Public Use,30.445054,-89.988879,39,1
5AL,,Airport,ASO,AL,Public Use,30.45,-87.807778,,
5R7,Roy E Ray Airport,Airport,ASO,AL,Public Use,30.45525,-88.211194,87,1
CQF,H L Sonny Callahan Airport,Airport,ASO,AL,Public Use,30.4605,-87.877028,91,1
PQL,Trent Lott Int'l Airport,Airport,ASO,MS,Public Use,30.462781,-88.529228,17,1
4R7,Eunice Airport,Airport,ASW,LA,Public Use,30.466284,-92.423799,42,1
PNS,Pensacola Gulf Coast Reg'l Airport,Airport,ASO,FL,Federalized/Commercial,30.473426,-87.186612,121,2
88R,,Airport,ASW,TX,Public Use,30.477973,-98.121128,830,1
F95,Calhoun County Airport,Airport,ASO,FL,Public Use,30.48721,-85.113796,122,1
MJD,Picayune Municipal Airport,Airport,ASO,MS,Public Use,30.487472,-89.651194,55,1
